PC1,PC2
-0.344474,-0.384382
-0.206967,-0.425809
-0.197799,-0.429772
-0.145291,-0.450751
-0.552327,-0.314434
-0.643493,-0.293205
-0.600154,-0.310221
-0.842839,-0.232421
-0.718825,-0.277104
-0.934004,-0.211192
-1.10034,-0.168277
-1.06617,-0.18133
-1.013,-0.197109
-1.15535,-0.1445
-1.07101,-0.170149
-1.3137,-0.092349
-1.37303,-0.0757903
-1.48488,-0.0382527
-1.50754,-0.0375452
-1.34985,-0.0948968
-1.29484,-0.118674
-1.18666,-0.158229
-1.13165,-0.182006
-0.914629,-0.255916
-0.747113,-0.31203
-0.594271,-0.3582
-0.498261,-0.39061
-0.407113,-0.40453
-0.180905,-0.489712
0.0135793,-0.532006
0.123065,-0.553851
0.560819,-0.329926
1.05185,-0.0835609
1.42463,0.740451
1.72628,1.46409
1.60169,0.46352
1.83802,0.209974
2.24677,1.33713
1.9981,0.421187
2.5851,2.04493
1.99935,0.0691691
2.85489,2.3962
2.12175,-0.29344
2.11925,-0.991879
2.13303,-0.859349
2.08787,-1.15123
2.17956,-1.19085
1.78401,-1.04887
1.25029,-0.870655
0.964768,-0.776224
0.734253,-0.705569
0.534907,-0.644785
0.397899,-0.603742
0.19489,-0.544975
0.117217,-0.520491
-0.104791,-0.458999
-0.198297,-0.429387
-0.266819,-0.401556
-0.362291,-0.394855
-0.503624,-0.36103
-0.720127,-0.305519
-0.820461,-0.280327
-0.674447,-0.330918
-0.630447,-0.342734
-0.961794,-0.246503
-1.05164,-0.214873
-1.1018,-0.202277
-1.084,-0.184494
-1.09748,-0.195059
-0.941636,-0.244412
-1.1018,-0.202277
-0.936792,-0.255593
-1.13363,-0.197607
-1.06945,-0.225346
-0.895274,-0.282625
-0.89277,-0.285423
-0.634252,-0.368351
0.436494,2.4759
0.943391,3.0014
0.470723,0.952975
0.093765,-0.164237
-0.0385929,-0.310901
0.985858,2.80996
0.785095,2.02811
0.606422,1.28588
0.522519,0.855944
0.922612,1.28545
0.805124,1.21258
0.588963,-0.0197236
1.47687,2.27693
1.52759,2.23132
1.25474,0.427911
1.61792,1.41259
1.9793,2.37995
1.76604,1.80017
1.60179,1.98968
1.01771,-0.0851267
1.68068,0.944578
1.35202,0.438535
0.739416,-0.427239
0.921003,-0.830006
0.696634,-0.742117
0.429445,-0.655611
0.28888,-0.578367
0.426941,-0.652813
0.136056,-0.539506
0.0767201,-0.522947
-0.067597,-0.49325
0.34197,1.13984
-0.0285753,0.176444
-0.091694,-0.23158
-0.23004,-0.286409
-0.537795,-0.347977
-0.647298,-0.318822
-0.674803,-0.306934
-0.475621,-0.373303
-0.516619,-0.36467
-0.816136,-0.273109
-0.731799,-0.298758
-0.943226,-0.185301
-0.983652,-0.216995
-1.05216,-0.196474
-1.00816,-0.20829
-1.098,-0.17666
-1.31318,-0.110748
-1.12983,-0.17199
-0.964817,-0.225306
-1.18666,-0.158229
-1.02898,-0.21558
-0.854795,-0.272859
-0.973964,-0.239357
-0.928122,-0.259171
-0.928122,-0.259171
-0.744772,-0.320413
-0.621257,-0.364711
-0.381574,-0.439329
-0.244046,-0.49877
-0.00370122,-0.568188
0.153465,-0.60714
0.217125,-0.616481
0.517325,-0.720856
1.0517,-0.893868
1.29637,-0.956067
1.58622,-1.04328
1.82891,-1.12108
2.00575,-1.07209
2.00575,-1.07209
1.94649,-1.09547
2.11956,-1.08671
2.52267,0.623974
2.96871,1.68034
2.37229,0.215544
2.73407,1.13699
1.79283,-0.242139
2.11834,0.553068
1.74485,-1.04823
1.94168,-1.09891
2.04737,-1.14298
1.44583,-0.957057
1.76671,-1.07774
1.47568,-0.977328
1.17182,-0.874971
1.26833,-0.907766
0.860628,-0.776649
0.680281,-0.71859
0.561609,-0.685473
0.474768,-0.657026
0.375757,-0.621433
0.504095,-0.658898
0.22958,-0.576428
0.0584007,-0.522331
-0.175116,-0.448494
-0.109115,-0.466217
0.0192229,-0.503682
0.0192229,-0.503682
-0.33963,-0.395563
-0.385472,-0.375749
-0.463145,-0.351264
-0.59765,-0.313019
-0.696662,-0.277427
-0.747383,-0.231813
-0.824502,-0.240347
-0.796996,-0.252235
-0.824502,-0.240347
-0.847163,-0.239639
-0.773815,-0.271342
-0.515297,-0.35427
-0.430315,-0.367409
-0.601992,-0.312928
-0.320275,-0.422272
-0.190095,-0.467735
-0.389278,-0.401366
-0.352603,-0.417217
-0.302436,-0.429813
-0.224763,-0.454297
-0.0902586,-0.492542
0.0864257,-0.552619
0.362783,-0.643088
0.584791,-0.704579
1.20653,-0.924437
1.82026,-1.13552
2.23414,-1.28543
2.5068,-1.35259
2.38925,-1.17602
2.20368,-0.982705
2.45414,-1.12771
2.25787,-1.11005
2.30911,-1.17406
2.53914,-0.756499
2.36393,-1.28158
2.49917,-0.567863
2.55081,-0.763259
2.58369,-0.801332
2.26764,0.401063
2.73789,1.41223
2.89006,2.36097
2.49105,1.18952
2.14596,1.1386
1.43406,-0.906439
1.32137,-0.965158
1.42705,-1.00192
1.20965,-0.803931
1.20965,-0.803931
0.027688,-0.399011
0.667827,-0.758643
0.804672,-0.805272
1.16256,0.653484
0.740492,-0.777532
0.569313,-0.723436
0.715988,-0.768826
0.759327,-0.785842
0.423136,-0.67843
0.525811,-0.712005
0.588148,-0.731746
0.588148,-0.731746
0.279463,-0.636222
0.425477,-0.686813
0.16996,-0.607068
0.26597,-0.639478
0.00656823,-0.235826
-0.177384,-0.511294
-0.0543879,-0.537193
-0.0818934,-0.525305
-0.0684004,-0.522049
0.0691062,-0.563477
-0.155242,-0.493602
-0.136905,-0.501528
-0.0684004,-0.522049
