PC1,PC2
0.409541,-0.672699
0.249422,-0.623201
0.053702,-0.56299
0.342949,-0.66567
0.294716,-0.639624
0.0732507,-0.568761
0.229554,-0.631797
0.252361,-0.632825
0.330951,-0.652762
-0.16689,-0.500124
-0.35824,-0.448739
-0.348308,-0.46002
-0.631677,-0.376587
-0.529726,-0.419916
-0.480062,-0.445165
-0.572144,-0.315821
-0.129822,1.63124
-0.529836,0.869853
-0.932544,-0.333417
-1.48354,-0.172613
-1.71168,-0.116884
-1.65296,-0.145417
-1.8548,-0.0915444
-1.70143,-0.144957
-1.83581,-0.10611
-1.91233,-0.0877999
-1.92751,-0.0908544
-1.8904,-0.111989
-1.70186,0.305565
-2.03034,-0.0706875
-2.06363,-0.067173
-1.91027,-0.120586
-1.7569,-0.173998
-1.74785,-0.177283
-2.01416,-0.0443332
-1.88222,-0.138436
-2.10599,-0.0603741
-1.98592,-0.110272
-2.13023,-0.0601441
-2.06888,-0.0815091
-2.13635,-0.0664831
-2.10917,-0.0763366
-2.07206,-0.0974716
-1.96193,-0.136088
-1.79044,-0.19607
-1.91663,-0.152511
-1.76939,-0.212262
-1.73458,-0.226198
-1.69517,-0.223373
-1.51113,-0.287468
-1.62632,-0.176128
-1.28466,0.364558
-1.35501,-0.271257
-1.08794,-0.00223238
-0.449596,1.23183
-0.411315,0.170959
-0.0359234,0.514657
0.914674,2.89423
0.985565,1.86258
0.738795,1.57965
0.555234,0.0735835
1.21508,1.35503
1.08087,0.0975506
1.92477,2.86926
0.970099,-0.717448
1.99929,2.44916
1.59477,0.949069
0.921502,-0.0632166
1.404,2.23957
0.569283,-0.455048
1.18072,1.73866
0.935571,1.23747
0.908341,1.90778
0.648563,0.421145
1.1551,2.05557
1.10833,3.19083
0.355686,-0.240782
0.404171,0.321926
0.390177,0.343154
0.826437,2.08259
0.424038,0.605482
0.548806,1.55231
0.414916,0.706063
1.09476,2.88344
0.988046,2.1804
0.326783,1.61438
0.172596,1.13723
-0.0665562,0.287047
0.334908,2.02251
0.128114,1.12105
0.270806,1.69929
0.573812,3.17113
-0.471319,-0.351428
0.0396613,1.58698
-0.263355,-0.448032
-0.423774,0.0104539
-0.602508,-0.34569
-0.635804,-0.342175
-0.608628,-0.352029
-0.462256,-0.403783
-0.168317,0.661236
0.0873187,1.00688
0.402395,3.20665
0.494095,2.73221
0.118389,2.28341
0.209914,2.57329
0.41351,2.63857
0.503968,2.57443
-0.0190731,0.471265
0.19314,0.469687
0.704185,2.46386
0.448715,0.515769
0.57185,0.689674
0.484685,-0.447161
0.699355,0.579793
0.618752,-0.487127
1.09212,1.07812
1.64394,2.28601
0.817791,-0.0899713
0.798799,-0.228465
1.05776,0.727608
0.893635,0.108676
1.09074,0.844874
0.720146,-0.386191
0.892124,-0.615042
1.07532,1.29332
0.715776,-0.102405
1.25318,2.18947
1.12081,2.22
0.218932,-0.458477
0.442967,0.566312
0.0658134,-0.428549
0.194438,-0.569911
0.0320148,-0.513214
-0.192947,-0.441523
-0.33201,-0.408218
-0.196763,-0.455061
-0.187704,-0.458346
-0.13804,-0.483594
-0.538854,-0.343095
-0.632623,-0.326213
-0.592018,-0.348177
-0.833032,-0.271543
-0.712963,-0.321441
-0.926801,-0.25466
-1.09447,-0.212299
-1.06292,-0.230979
-1.01064,-0.249059
-1.14882,-0.192592
-1.06586,-0.221355
-1.30688,-0.144721
-1.36735,-0.131353
-1.47749,-0.0927369
-1.50172,-0.0925069
-1.34629,-0.147546
-1.29194,-0.167253
-1.1853,-0.20504
-1.13095,-0.224747
-0.915046,-0.293154
-0.747933,-0.34431
-0.595442,-0.389725
-0.498734,-0.416231
-0.406962,-0.424794
-0.180003,-0.504805
0.0154702,-0.541532
0.12536,-0.556664
0.557918,-0.322664
1.04457,-0.0669749
1.40879,0.771128
1.70379,1.5051
1.59496,0.504121
1.83496,0.251127
2.23024,1.39248
1.99471,0.468777
2.56147,2.11332
2.0007,0.119789
2.82792,2.47084
2.1297,-0.23965
2.13231,-0.948709
2.14893,-0.809709
2.10682,-1.10135
2.19741,-1.1342
1.80327,-1.00973
1.27126,-0.845577
0.985826,-0.760518
0.754744,-0.695165
0.554336,-0.640495
0.415273,-0.60719
0.211367,-0.551691
0.132777,-0.531754
-0.0918693,-0.476855
-0.183888,-0.444807
-0.255416,-0.419835
-0.353309,-0.417611
-0.498491,-0.390645
-0.717576,-0.338201
-0.820403,-0.318034
-0.678721,-0.37533
-0.635492,-0.390126
-0.965586,-0.291068
