PC1,PC2
0.258715,-0.598402
0.162545,-0.575835
0.587684,-0.723644
0.604078,-0.7279
0.414488,-0.673386
0.572149,-0.729189
0.709496,-0.775616
0.414488,-0.673386
0.253766,-0.622266
0.0566474,-0.562208
0.350007,-0.666574
0.299652,-0.639307
0.0766506,-0.566889
0.236821,-0.630359
0.258235,-0.632492
0.336361,-0.652939
-0.163846,-0.497457
-0.354847,-0.44549
-0.343161,-0.456565
-0.627584,-0.372653
-0.522477,-0.415673
-0.470473,-0.440805
-0.561205,-0.311095
-0.116569,1.63359
-0.515598,0.873776
-0.917,-0.327349
-1.47302,-0.166066
-1.69987,-0.110269
-1.63869,-0.138809
-1.84051,-0.0855702
-1.68481,-0.138814
-1.81965,-0.100053
-1.89582,-0.0821662
-1.9097,-0.0855764
-1.87048,-0.106876
-1.68111,0.310471
-2.01089,-0.0651316
-2.04313,-0.0617255
-1.88743,-0.114969
-1.73173,-0.168212
-1.72255,-0.17162
-1.99157,-0.039118
-1.85739,-0.13286
-2.08455,-0.0549112
-1.96109,-0.104748
-2.10761,-0.0549133
-2.04533,-0.0762106
-2.11232,-0.0617317
-2.08479,-0.0719562
-2.04557,-0.0932556
-1.9338,-0.132018
-1.75974,-0.192078
-1.88791,-0.149059
-1.73692,-0.209121
-1.70186,-0.224889
-1.66491,-0.221477
-1.47807,-0.285369
-1.59397,-0.175566
-1.25308,0.364284
-1.32476,-0.270857
-1.06288,-0.00199104
-0.425781,1.2303
-0.394842,0.170186
-0.0235189,0.513387
0.921892,2.88838
0.993484,1.85756
0.744762,1.57632
0.560517,0.0720253
1.22051,1.35007
1.08679,0.0941537
1.9286,2.86129
0.974887,-0.720023
2.00447,2.44216
1.60103,0.945069
0.92762,-0.0654379
1.4083,2.23402
0.572356,-0.456253
1.18118,1.73468
0.936518,1.23506
0.909213,1.90513
0.652366,0.421007
1.1603,2.05311
1.10647,3.18692
0.356907,-0.23933
0.40057,0.322756
0.386331,0.344208
0.819512,2.08128
0.419595,0.606646
0.543559,1.55239
0.413107,0.707819
1.09279,2.88186
0.987699,2.18009
0.321417,1.61501
0.167234,1.13885
-0.0714958,0.289981
0.326429,2.02307
0.122293,1.12321
0.264464,1.70081
0.565236,3.17046
-0.477321,-0.346503
0.0337544,1.5888
-0.264555,-0.442922
-0.429131,0.014974
-0.60569,-0.340696
-0.63793,-0.33729
-0.610398,-0.347515
-0.461914,-0.39991
-0.170028,0.664082
0.0876287,1.00941
0.398974,3.20553
0.495547,2.732
0.116601,2.28349
0.208099,2.57279
0.412575,2.63748
0.501416,2.57313
-0.022696,0.473425
0.190887,0.47191
0.6971,2.46247
0.444901,0.516427
0.567358,0.689651
0.482362,-0.445623
0.693854,0.578987
0.613635,-0.486669
1.08821,1.07609
1.64232,2.28208
0.813635,-0.0903501
0.794945,-0.228887
1.05331,0.725836
0.889614,0.107732
1.08624,0.842921
0.717428,-0.386473
0.891234,-0.614763
1.07026,1.29105
0.713391,-0.102585
1.24827,2.18623
1.11402,2.21717
0.21466,-0.456338
0.438895,0.56715
0.0609603,-0.425821
0.191966,-0.566878
0.0270869,-0.510227
-0.199524,-0.437385
-0.337422,-0.403307
-0.200074,-0.449734
-0.190897,-0.453143
-0.138894,-0.478274
-0.545678,-0.337282
-0.63769,-0.320245
-0.594863,-0.341969
-0.837869,-0.26487
-0.714407,-0.314707
-0.929881,-0.247833
-1.09696,-0.205667
-1.06331,-0.223983
-1.01021,-0.241872
-1.15202,-0.185218
-1.06778,-0.213756
-1.31078,-0.136657
-1.37056,-0.123027
-1.48233,-0.0842645
-1.50539,-0.0842665
-1.34773,-0.14007
-1.29267,-0.160519
-1.1845,-0.198857
-1.12944,-0.219306
-0.912006,-0.28874
-0.744068,-0.340709
-0.590875,-0.386285
-0.494394,-0.413548
-0.402975,-0.422768
-0.175772,-0.503427
0.019346,-0.540758
0.12912,-0.556794
0.563274,-0.324537
1.05069,-0.0702463
1.41308,0.765994
1.70583,1.49878
1.59513,0.498756
1.83487,0.246034
2.22899,1.38521
1.99274,0.463167
2.55845,2.10436
1.99867,0.11392
2.82387,2.46119
2.1263,-0.245392
2.13203,-0.953252
2.1452,-0.814441
2.1037,-1.10615
2.19547,-1.14023
1.79896,-1.01286
1.26401,-0.846306
0.977626,-0.759834
0.746307,-0.69381
0.546128,-0.638435
0.40823,-0.604358
0.204443,-0.548559
0.126316,-0.528112
-0.0969254,-0.472739
-0.190346,-0.440793
-0.259888,-0.415937
-0.356016,-0.413536
-0.498623,-0.386277
-0.716296,-0.333888
-0.817485,-0.313443
-0.672061,-0.370521
-0.628135,-0.385002
-0.960092,-0.286184
-1.0499,-0.254662
-1.1005,-0.24444
-1.0825,-0.226394
-1.09579,-0.237621
-0.940089,-0.290865
-1.1005,-0.24444
-0.93562,-0.301091
-1.13274,-0.241034
-1.0685,-0.264891
-0.894443,-0.324951
-0.891383,-0.320268
-0.633083,-0.408865
0.402822,2.47849
0.903735,3.01695
0.458368,0.954486
0.0953076,-0.17246
-0.0347198,-0.319974
0.948271,2.82443
0.757653,2.03852
0.58856,1.29311
0.510613,0.86186
0.903796,1.28892
0.788232,1.22267
0.588615,-0.0115257
1.44641,2.30748
1.49795,2.26458
1.24864,0.453506
1.59854,1.44164
1.94738,2.41983
1.74191,1.8334
1.57517,2.02092
1.01822,-0.0675653
1.66652,0.968377
1.34583,0.461057
0.74472,-0.413742
0.93078,-0.810973
0.705818,-0.735995
0.437791,-0.656339
0.296438,-0.581915
0.434731,-0.661022
0.143838,-0.544156
0.0840664,-0.530525
-0.0604565,-0.503417
0.327474,1.13818
-0.0305426,0.163401
-0.088572,-0.24965
-0.226143,-0.305944
-0.532272,-0.367961
-0.642638,-0.344108
-0.67017,-0.333884
-0.471642,-0.408851
-0.51306,-0.402037
-0.812777,-0.306625
-0.728533,-0.335163
-0.940836,-0.220974
-0.980715,-0.254656
-1.04966,-0.237617
-1.00574,-0.252098
-1.09555,-0.220576
-1.31102,-0.153702
-1.12779,-0.21717
-0.962912,-0.273822
-1.1845,-0.198857
-1.02684,-0.25466
-0.852785,-0.31472
-0.971778,-0.275109
-0.925892,-0.29215
-0.925892,-0.29215
-0.742659,-0.355618
-0.618646,-0.393106
-0.37815,-0.462537
-0.240492,-0.51366
0.00110413,-0.575849
0.159006,-0.614607
0.223486,-0.62142
0.524614,-0.714284
1.06067,-0.873597
1.30697,-0.928967
1.59807,-1.00862
1.84107,-1.08572
2.017,-1.04092
2.017,-1.04092
1.95932,-1.05544
2.13148,-1.05014
2.5136,0.679387
2.94715,1.7488
2.37119,0.271272
2.71992,1.18937
1.79871,-0.20057
2.11286,0.598304
1.75951,-1.00861
1.95603,-1.06085
2.06173,-1.11169
1.45924,-0.925545
1.78013,-1.04014
1.48818,-0.950679
1.18344,-0.85739
1.27937,-0.897002
0.871488,-0.763252
0.690764,-0.707451
0.57122,-0.68019
0.483917,-0.656335
0.384927,-0.621405
0.513097,-0.664424
0.237852,-0.583919
0.0663046,-0.531526
-0.167523,-0.457836
-0.101634,-0.479558
0.026536,-0.522576
0.026536,-0.522576
-0.332953,-0.413534
-0.378839,-0.396493
-0.456965,-0.376046
-0.591804,-0.337286
-0.690793,-0.302356
-0.742333,-0.259454
-0.819514,-0.271686
-0.791982,-0.281911
-0.819514,-0.271686
-0.842577,-0.271689
-0.769159,-0.298954
-0.51086,-0.387551
-0.426109,-0.40103
-0.597105,-0.336287
-0.31539,-0.449745
-0.18526,-0.495323
-0.383788,-0.420357
-0.347079,-0.433989
-0.296484,-0.444212
-0.218358,-0.464659
-0.0835195,-0.503419
0.0935962,-0.558796
0.370801,-0.64186
0.594043,-0.697233
1.21716,-0.897446
1.83165,-1.09936
2.24652,-1.23354
2.51921,-1.30367
2.40257,-1.12511
2.21556,-0.930929
2.46657,-1.08148
2.27099,-1.06192
2.32229,-1.12186
2.54581,-0.707771
2.37763,-1.22997
2.50434,-0.510575
2.55805,-0.706497
2.59069,-0.754932
2.25937,0.44761
2.71554,1.46277
2.85586,2.42442
2.47246,1.24134
2.12852,1.18571
1.44345,-0.879916
1.33145,-0.943875
1.43655,-0.986896
1.2173,-0.789304
1.2173,-0.789304
0.035531,-0.359642
0.676398,-0.744952
0.812645,-0.798621
1.15118,0.667344
0.748405,-0.774764
0.576858,-0.722371
0.723382,-0.772206
0.766208,-0.79393
0.429782,-0.684885
0.53238,-0.72024
0.594661,-0.741537
0.594661,-0.741537
0.285767,-0.642717
0.431191,-0.699795
0.1754,-0.618864
0.271881,-0.646127
0.00635475,-0.252737
-0.173503,-0.528139
-0.0492505,-0.548582
-0.0767821,-0.538357
-0.0628963,-0.534947
0.0744508,-0.581374
-0.1502,-0.511092
-0.131845,-0.517908
-0.0628963,-0.534947
0.0152299,-0.555394
0.205132,-0.614603
0.386956,-0.663162
0.492614,-0.693833
0.607449,-0.727913
0.874926,-0.819919
1.04232,-0.86678
0.973606,-0.832697
1.12931,-0.88594
1.25136,-0.920868
1.18296,-0.89148
1.66653,-1.05975
2.44646,-1.30596
2.6664,-1.38306
2.73394,-1.30065
2.55299,-0.688453
2.45387,-1.18506
2.8563,0.281909
2.89655,-1.41713
3.26552,-1.53428
3.47849,-1.59349
3.1889,-1.2139
3.63962,1.6377
3.21555,0.814943
3.26498,1.54499
2.64886,-0.537683
