accMotion,digital,humidity,pulseAbs,temperature,vdd,waterleak,x,y,z
0.0,0.0,42.0,0.0,26.8,3611.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,44.0,0.0,26.2,3613.0,0.0,-59.0,-20.0,-13.0
2.0,0.0,47.0,0.0,25.0,3606.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,47.0,0.0,24.4,3603.0,0.0,-58.0,-21.0,-11.0
0.0,0.0,48.0,0.0,23.7,3600.0,0.0,-59.0,-21.0,-11.0
0.0,0.0,50.0,0.0,23.4,3606.0,0.0,-59.0,-22.0,-12.0
0.0,0.0,51.0,0.0,23.1,3611.0,0.0,-58.0,-21.0,-11.0
0.0,0.0,54.0,0.0,22.4,3595.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,54.0,0.0,21.7,3595.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,54.0,0.0,21.4,3595.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,55.0,0.0,21.2,3600.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,55.0,0.0,21.1,3603.0,0.0,-59.0,-22.0,-13.0
0.0,0.0,56.0,0.0,20.8,3595.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,56.0,0.0,20.7,3600.0,0.0,-58.0,-21.0,-12.0
3.0,0.0,56.0,0.0,20.3,3593.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,57.0,0.0,20.2,3598.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,58.0,0.0,19.8,3590.0,0.0,-58.0,-23.0,-13.0
0.0,0.0,58.0,0.0,19.7,3595.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,59.0,0.0,19.3,3590.0,0.0,-57.0,-22.0,-12.0
0.0,0.0,59.0,0.0,19.2,3595.0,0.0,-58.0,-22.0,-13.0
0.0,0.0,60.0,0.0,19.0,3595.0,0.0,-58.0,-21.0,-11.0
0.0,0.0,60.0,0.0,19.0,3598.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,61.0,0.0,18.7,3587.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,61.0,0.0,18.4,3590.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,62.0,0.0,18.1,3585.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,62.0,0.0,18.2,3593.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,62.0,0.0,18.8,3595.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,62.0,0.0,19.2,3590.0,0.0,-58.0,-20.0,-13.0
0.0,0.0,63.0,0.0,19.5,3590.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,63.0,0.0,19.8,3595.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,62.0,0.0,20.1,3595.0,0.0,-58.0,-20.0,-13.0
0.0,0.0,62.0,0.0,20.4,3600.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,62.0,0.0,20.9,3593.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,62.0,0.0,21.7,3595.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,61.0,0.0,22.4,3595.0,0.0,-57.0,-20.0,-13.0
0.0,0.0,60.0,0.0,23.1,3598.0,0.0,-58.0,-20.0,-12.0
0.0,0.0,59.0,0.0,23.8,3600.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,59.0,0.0,23.9,3606.0,0.0,-58.0,-20.0,-12.0
0.0,0.0,58.0,0.0,25.1,3600.0,0.0,-58.0,-21.0,-11.0
0.0,0.0,57.0,0.0,25.6,3608.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,57.0,0.0,26.0,3611.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,55.0,0.0,27.1,3606.0,0.0,-59.0,-22.0,-13.0
1.0,0.0,53.0,0.0,27.2,3608.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,52.0,0.0,30.9,3613.0,0.0,-58.0,-21.0,-13.0
5.0,0.0,51.0,0.0,31.1,3621.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,49.0,0.0,32.8,3621.0,0.0,-59.0,-22.0,-12.0
0.0,0.0,47.0,0.0,34.2,3621.0,0.0,-59.0,-21.0,-13.0
0.0,0.0,44.0,0.0,35.7,3626.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,44.0,0.0,35.3,3632.0,0.0,-59.0,-21.0,-12.0
241.0,0.0,39.0,0.0,33.7,3626.0,0.0,-59.0,-21.0,-12.0
27.0,0.0,40.0,0.0,31.9,3621.0,0.0,-58.0,-20.0,-13.0
13.0,0.0,40.0,0.0,32.1,3621.0,0.0,-58.0,-21.0,-12.0
89.0,0.0,39.0,0.0,32.5,3621.0,0.0,-59.0,-21.0,-13.0
40.0,0.0,38.0,0.0,33.1,3621.0,0.0,-59.0,-21.0,-12.0
48.0,0.0,36.0,0.0,33.1,3621.0,0.0,-60.0,-20.0,-13.0
129.0,0.0,37.0,0.0,33.1,3621.0,0.0,-58.0,-18.0,-13.0
222.0,0.0,36.0,0.0,33.2,3624.0,0.0,-59.0,-21.0,-13.0
95.0,0.0,35.0,0.0,33.1,3626.0,0.0,-59.0,-21.0,-12.0
22.0,0.0,34.0,0.0,33.1,3629.0,0.0,-59.0,-20.0,-10.0
126.0,0.0,34.0,0.0,32.7,3621.0,0.0,-58.0,-21.0,-13.0
1.0,0.0,37.0,0.0,32.2,3621.0,0.0,-58.0,-20.0,-12.0
165.0,0.0,37.0,0.0,31.4,3621.0,0.0,-59.0,-21.0,-12.0
30.0,0.0,39.0,0.0,30.2,3616.0,0.0,-59.0,-21.0,-13.0
0.0,0.0,42.0,0.0,29.0,3613.0,0.0,-59.0,-21.0,-11.0
0.0,0.0,43.0,0.0,28.3,3619.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,43.0,0.0,27.8,3621.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,45.0,0.0,27.1,3611.0,0.0,-58.0,-21.0,-14.0
0.0,0.0,45.0,0.0,26.9,3616.0,0.0,-59.0,-21.0,-11.0
0.0,0.0,45.0,0.0,26.7,3616.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,46.0,0.0,25.9,3606.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,48.0,0.0,24.9,3603.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,48.0,0.0,24.8,3611.0,0.0,-58.0,-21.0,-11.0
0.0,0.0,49.0,0.0,24.1,3603.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,50.0,0.0,23.4,3600.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,54.0,0.0,22.8,3598.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,55.0,0.0,22.6,3606.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,55.0,0.0,22.4,3606.0,0.0,-59.0,-21.0,-12.0
1.0,0.0,55.0,0.0,22.1,3600.0,0.0,-58.0,-21.0,-11.0
0.0,0.0,55.0,0.0,21.9,3595.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,56.0,0.0,21.4,3595.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,57.0,0.0,21.1,3595.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,57.0,0.0,21.1,3600.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,57.0,0.0,20.9,3600.0,0.0,-58.0,-20.0,-13.0
0.0,0.0,58.0,0.0,20.6,3595.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,58.0,0.0,20.2,3593.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,59.0,0.0,20.1,3598.0,0.0,-57.0,-21.0,-14.0
0.0,0.0,60.0,0.0,20.0,3593.0,0.0,-58.0,-20.0,-12.0
0.0,0.0,60.0,0.0,19.9,3595.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,60.0,0.0,19.9,3598.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,61.0,0.0,19.9,3598.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,61.0,0.0,20.6,3590.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,61.0,0.0,20.9,3593.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,61.0,0.0,21.6,3595.0,0.0,-57.0,-20.0,-12.0
0.0,0.0,61.0,0.0,22.1,3595.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,61.0,0.0,22.4,3600.0,0.0,-57.0,-21.0,-12.0
0.0,0.0,60.0,0.0,23.3,3598.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,59.0,0.0,23.8,3600.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,58.0,0.0,24.6,3600.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,57.0,0.0,25.5,3603.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,57.0,0.0,25.8,3608.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,56.0,0.0,26.0,3611.0,0.0,-58.0,-20.0,-12.0
0.0,0.0,56.0,0.0,26.5,3613.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,56.0,0.0,26.9,3616.0,0.0,-58.0,-20.0,-13.0
0.0,0.0,55.0,0.0,27.1,3608.0,0.0,-58.0,-22.0,-13.0
0.0,0.0,55.0,0.0,27.4,3613.0,0.0,-58.0,-22.0,-12.0
0.0,0.0,53.0,0.0,28.1,3611.0,0.0,-58.0,-20.0,-13.0
4.0,0.0,53.0,0.0,29.7,3611.0,0.0,-58.0,-20.0,-12.0
154.0,0.0,52.0,0.0,29.4,3611.0,0.0,-56.0,-20.0,-10.0
52.0,0.0,52.0,0.0,29.3,3611.0,0.0,-62.0,-20.0,-7.0
32.0,0.0,51.0,0.0,29.4,3613.0,0.0,-61.0,-18.0,-10.0
135.0,0.0,50.0,0.0,29.6,3613.0,0.0,-59.0,-20.0,-15.0
133.0,0.0,50.0,0.0,29.7,3619.0,0.0,-57.0,-19.0,-11.0
113.0,0.0,50.0,0.0,29.8,3616.0,0.0,-56.0,-21.0,-14.0
127.0,0.0,50.0,0.0,29.8,3619.0,0.0,-55.0,-27.0,-6.0
75.0,0.0,49.0,0.0,29.8,3613.0,0.0,-58.0,-21.0,-14.0
81.0,0.0,48.0,0.0,30.1,3616.0,0.0,-61.0,-19.0,-15.0
90.0,0.0,47.0,0.0,30.1,3616.0,0.0,-60.0,-25.0,-19.0
36.0,0.0,46.0,0.0,30.2,3616.0,0.0,-59.0,-21.0,-10.0
128.0,0.0,47.0,0.0,29.9,3616.0,0.0,-72.0,15.0,-30.0
130.0,0.0,47.0,0.0,29.8,3621.0,0.0,-54.0,-21.0,-5.0
109.0,0.0,47.0,0.0,29.6,3613.0,0.0,-61.0,-26.0,-12.0
109.0,0.0,47.0,0.0,29.6,3613.0,0.0,-61.0,-26.0,-12.0
66.0,0.0,47.0,0.0,29.2,3613.0,0.0,-57.0,-23.0,-11.0
128.0,0.0,48.0,0.0,28.6,3611.0,0.0,-57.0,-21.0,-10.0
30.0,0.0,48.0,0.0,28.5,3616.0,0.0,-57.0,-20.0,-12.0
156.0,0.0,49.0,0.0,27.8,3611.0,0.0,-59.0,-23.0,-12.0
154.0,0.0,49.0,0.0,27.3,3608.0,0.0,-57.0,-21.0,-14.0
56.0,0.0,49.0,0.0,26.7,3608.0,0.0,-59.0,-20.0,-13.0
237.0,0.0,49.0,0.0,26.6,3613.0,0.0,-57.0,-23.0,-9.0
43.0,0.0,51.0,0.0,26.1,3606.0,0.0,-58.0,-21.0,-13.0
48.0,0.0,52.0,0.0,25.7,3606.0,0.0,-60.0,-20.0,-8.0
